文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
create_avionics-neoforge-1.21.1-0.5.2.jar,Create: Avionics — ComputerCraft for Aeronautics,,2026/7/26 1:21:00,,h4nsLvjf,155868,K:\.minecraft\versions\BadAeroPlay\mods\create_avionics-neoforge-1.21.1-0.5.2.jar
create_aeronautics_transmission_linkage-0.2.5.jar,Create Aeronautics: Transmission & Linkage,,2026/6/17 14:57:09,,Y1dq5ioE,666943,K:\.minecraft\versions\BadAeroPlay\mods\create_aeronautics_transmission_linkage-0.2.5.jar
create_aeronautics_toolgun-0.3.2.jar,机械动力航空学：工具枪 (Create Aeronautics: Toolgun) - 正在审核,,2026/7/20 2:09:41,,5fUBLqeW,1323478,K:\.minecraft\versions\BadAeroPlay\mods\create_aeronautics_toolgun-0.3.2.jar
create_aeronautics_placeable_wheels-0.2-1.21.1.jar,Create Aeronautics: Placeable Wheels,,2026/7/6 0:48:18,,cC5Hn6ck,22181,K:\.minecraft\versions\BadAeroPlay\mods\create_aeronautics_placeable_wheels-0.2-1.21.1.jar
Create Encased-1.21.1-1.9.0-ht2.jar,机械动力：封装工艺 (Create Encased),ht2,2026/7/23 18:14:34,,hSSqdyU1,3111884,K:\.minecraft\versions\BadAeroPlay\mods\Create Encased-1.21.1-1.9.0-ht2.jar
create aeronautics boatpropellers.jar,Create Aeronautics: Boat Propellers,,2026/5/5 20:24:30,,Rzsvsn8U,29233,K:\.minecraft\versions\BadAeroPlay\mods\create aeronautics boatpropellers.jar
cratedelight-26.07.01-1.21-neoforge.jar,装箱乐事 (Crate Delight),,2026/7/1 13:23:28,,9rlXSyLg,202120,K:\.minecraft\versions\BadAeroPlay\mods\cratedelight-26.07.01-1.21-neoforge.jar
CrashAssistant-neoforge-1.20.6-1.21.4-1.11.11.jar,崩溃助手 (Crash Assistant),,2026/7/13 11:42:09,,ix1qq8Ux,3187440,K:\.minecraft\versions\BadAeroPlay\mods\CrashAssistant-neoforge-1.20.6-1.21.4-1.11.11.jar
crabbersdelight-1.21.1-1.2.6.jar,蟹农乐事 (Crabber's Delight),,2026/4/29 1:30:39,,gBGdVBJy,634794,K:\.minecraft\versions\BadAeroPlay\mods\crabbersdelight-1.21.1-1.2.6.jar
coroutil-neoforge-1.21.0-1.3.9.jar,CoroUtil,,2026/3/23 2:53:05,,237749,65716,K:\.minecraft\versions\BadAeroPlay\mods\coroutil-neoforge-1.21.0-1.3.9.jar
corn_delight-1.2.10-1.21.1.jar,玉米乐事 (Corn Delight),,2026/5/2 0:45:35,,uxLAKWU8,165038,K:\.minecraft\versions\BadAeroPlay\mods\corn_delight-1.2.10-1.21.1.jar
copyfoxies-2.0.0.jar,Create: Copyfoxes,,2026/7/25 19:53:45,,VmFTbxHn,418431,K:\.minecraft\versions\BadAeroPlay\mods\copyfoxies-2.0.0.jar
copycats-3.0.4+mc.1.21.1-neoforge.jar,机械动力：伪装方块+ (Create: Copycats+),,2025/11/23 11:28:55,,UT2M39wf,1791747,K:\.minecraft\versions\BadAeroPlay\mods\copycats-3.0.4+mc.1.21.1-neoforge.jar
cookingforblockheads-neoforge-1.21.1-21.1.24.jar,傻瓜烹饪/懒人厨房 (Cooking for Blockheads),,2026/7/10 14:03:52,,231484,1266042,K:\.minecraft\versions\BadAeroPlay\mods\cookingforblockheads-neoforge-1.21.1-21.1.24.jar
constructionwand-kots-1.21.1-2.16.9.jar,建筑手杖-耕云钓月版 (Construction Wand - KOTS),2.16.9,2026/6/30 14:25:31,,76H3XX6b,202805,K:\.minecraft\versions\BadAeroPlay\mods\constructionwand-kots-1.21.1-2.16.9.jar
configured-neoforge-1.21.1-2.6.3.jar,配置界面 (Configured),,2025/11/30 10:21:15,,457570,428793,K:\.minecraft\versions\BadAeroPlay\mods\configured-neoforge-1.21.1-2.6.3.jar
compactmekanismmachinesplus-0.4.0.jar,Compact Mekanism Machines Plus,,2025/9/17 16:20:43,mod_id,1329766,119213,K:\.minecraft\versions\BadAeroPlay\mods\compactmekanismmachinesplus-0.4.0.jar
compact_additions-2.1.0.jar,Create: Compact Additions,,2026/7/16 0:25:07,,B15pZdbw,617120,K:\.minecraft\versions\BadAeroPlay\mods\compact_additions-2.1.0.jar
comforts-neoforge-9.0.5+1.21.1.jar,舒适用品 (Comforts),,2026/1/24 12:53:25,,SaCpeal4,422658,K:\.minecraft\versions\BadAeroPlay\mods\comforts-neoforge-9.0.5+1.21.1.jar
collective-1.21.1-8.39.jar,Collective,8.39,2026/6/30 0:27:28,collective,e0M1UDsY,1061931,K:\.minecraft\versions\BadAeroPlay\mods\collective-1.21.1-8.39.jar
CodeChickenLib-1.21.1-4.6.1.529.jar,CodeChicken Lib,,2026/7/23 13:19:19,,2gq0ALnz,1538382,K:\.minecraft\versions\BadAeroPlay\mods\CodeChickenLib-1.21.1-4.6.1.529.jar
cloth-config-15.0.140-neoforge.jar,Cloth Config API,,2024/9/17 1:18:02,,9s6osm5g,1163890,K:\.minecraft\versions\BadAeroPlay\mods\cloth-config-15.0.140-neoforge.jar
climbable_ropes-2.1.1.jar,Climbable Ropes for Create Aeronautics,,2026/7/19 20:14:14,,jImqv1M5,242108,K:\.minecraft\versions\BadAeroPlay\mods\climbable_ropes-2.1.1.jar
classicbar-1.21.1-1.5.3.jar,Classic Bar Unofficial,,2026/5/11 1:30:04,,FhdcxNf6,129083,K:\.minecraft\versions\BadAeroPlay\mods\classicbar-1.21.1-1.5.3.jar
citadel-2.7.1-1.21.1.jar,Citadel,,2026/7/19 5:33:06,,jJfV67b1,3033076,K:\.minecraft\versions\BadAeroPlay\mods\citadel-2.7.1-1.21.1.jar
Chunky-NeoForge-1.4.23.jar,预生成区块 (Chunky),,2025/4/4 14:52:00,,fALzjamp,340572,K:\.minecraft\versions\BadAeroPlay\mods\Chunky-NeoForge-1.4.23.jar
chunkloaders-1.2.9-neoforge-mc1.21.jar,区块加载器 (Chunk Loaders),,2025/7/31 23:26:48,,t1VgucWo,146058,K:\.minecraft\versions\BadAeroPlay\mods\chunkloaders-1.2.9-neoforge-mc1.21.jar
chipped-neoforge-1.21.1-4.0.2.jar,Chipped,,2024/10/15 8:52:59,,BAscRYKm,15020578,K:\.minecraft\versions\BadAeroPlay\mods\chipped-neoforge-1.21.1-4.0.2.jar
chattools-v2.4.3.1+1.21.1-neoforge.jar,聊天工具箱 (Chat Tools),,2026/7/8 20:31:11,,pbnlOdwp,674432,K:\.minecraft\versions\BadAeroPlay\mods\chattools-v2.4.3.1+1.21.1-neoforge.jar
chalk-1.6.12.jar,粉笔 (Chalk),,2026/6/4 0:09:07,chalk,YWGP4Y1d,338917,K:\.minecraft\versions\BadAeroPlay\mods\chalk-1.6.12.jar
cfm_wap-1.21.1-neoforge-1.2.0.jar,CFM Refurbished: Watt About Power?,,2025/10/2 1:48:11,,1170251,68797,K:\.minecraft\versions\BadAeroPlay\mods\cfm_wap-1.21.1-neoforge-1.2.0.jar
ccterminals-1.21.1-forge-0.1.0.jar,CC: Terminals,,2026/4/16 2:11:43,,mbjglPPW,52540,K:\.minecraft\versions\BadAeroPlay\mods\ccterminals-1.21.1-forge-0.1.0.jar
ccsconnector-0.0.1-beta.jar,CC Synaxis Connector,,2026/7/2 16:37:27,,RJW88pUc,216264,K:\.minecraft\versions\BadAeroPlay\mods\ccsconnector-0.0.1-beta.jar
cccredstonelink-0.1.1.jar,CC: Create Redstone Link,,2026/6/26 10:50:54,,zDWcAhSD,41073,K:\.minecraft\versions\BadAeroPlay\mods\cccredstonelink-0.1.1.jar
cc-tweaked-1.21.1-forge-1.120.0.jar,CC: Tweaked - 已过时,,2026/6/19 0:04:12,,gu7yAYhd,3126946,K:\.minecraft\versions\BadAeroPlay\mods\cc-tweaked-1.21.1-forge-1.120.0.jar
cc-cbc-v1.1.1-1.21.1-neoforge.jar,CC:CBC,,2026/5/22 2:13:57,,zA9Klldw,32014,K:\.minecraft\versions\BadAeroPlay\mods\cc-cbc-v1.1.1-1.21.1-neoforge.jar
cc_sable-neoforge-1.3.4.jar,CC: Sable,,2026/5/13 15:29:37,,OPNBxiZD,43338,K:\.minecraft\versions\BadAeroPlay\mods\cc_sable-neoforge-1.3.4.jar
cc_modern-0.1.0.jar,CC: Modern,0.1.0,2026/7/9 13:59:04,,Ftp3q6oJ,220016,K:\.minecraft\versions\BadAeroPlay\mods\cc_modern-0.1.0.jar
cc_mb-neoforge-1.21.0-0.5.3.jar,纸带八音盒 (Music Box),,2025/5/19 17:10:39,,iVwaeEOr,240357,K:\.minecraft\versions\BadAeroPlay\mods\cc_mb-neoforge-1.21.0-0.5.3.jar
CBMultipart-1.21.1-3.5.0.155.jar,CB Multipart,,2025/12/1 11:03:54,,LmvnWWSV,547450,K:\.minecraft\versions\BadAeroPlay\mods\CBMultipart-1.21.1-3.5.0.155.jar
CBCmoreshells-1.2.2.jar,机械动力火炮：增强型弹药 (CBC Enchanced Shells),,2026/7/20 17:40:38,,1489732,2069241,K:\.minecraft\versions\BadAeroPlay\mods\CBCmoreshells-1.2.2.jar
CBC-Military-Supplement-1.21.1-2.1.0.jar,CBC Military Supplement,,2026/6/1 8:01:55,,1222164,2186150,K:\.minecraft\versions\BadAeroPlay\mods\CBC-Military-Supplement-1.21.1-2.1.0.jar
catalogue-neoforge-1.21.1-1.11.2.jar,模组目录 (Catalogue),,2025/8/25 22:04:06,,459701,302750,K:\.minecraft\versions\BadAeroPlay\mods\catalogue-neoforge-1.21.1-1.11.2.jar
cadeditor-1.21.1-0.1.0-neoforge.jar,CAD Editor,0.1.0,2025/11/24 19:07:43,cadeditor,MJW1h2CF,1539717,K:\.minecraft\versions\BadAeroPlay\mods\cadeditor-1.21.1-0.1.0-neoforge.jar
BrewinAndChewin-neoforge-4.5.0+1.21.1.jar,饮酒作乐 (Brewin' And Chewin'),,2026/6/24 8:01:22,,hIu9KJTT,1575450,K:\.minecraft\versions\BadAeroPlay\mods\BrewinAndChewin-neoforge-4.5.0+1.21.1.jar
bookshelf-neoforge-1.21.1-21.1.81.jar,Bookshelf,,2026/2/11 6:44:22,,uy4Cnpcm,328813,K:\.minecraft\versions\BadAeroPlay\mods\bookshelf-neoforge-1.21.1-21.1.81.jar
blueprint-1.21.1-8.1.1.jar,Blueprint,,2026/7/9 10:38:03,,VsM5EDoI,1202822,K:\.minecraft\versions\BadAeroPlay\mods\blueprint-1.21.1-8.1.1.jar
bits_n_bobs-0.0.44.jar,Create: Bits 'n' Bobs,0.0.44,2026/2/8 7:26:13,,T8bvmqVZ,1613264,K:\.minecraft\versions\BadAeroPlay\mods\bits_n_bobs-0.0.44.jar
BetterF3-11.0.3-NeoForge-1.21.1.jar,更好的F3 (BetterF3),,2024/11/4 8:45:11,,8shC1gFX,481646,K:\.minecraft\versions\BadAeroPlay\mods\BetterF3-11.0.3-NeoForge-1.21.1.jar
balm-neoforge-1.21.1-21.0.63.jar,Balm,21.0.63,2026/7/13 21:06:01,,531761,782380,K:\.minecraft\versions\BadAeroPlay\mods\balm-neoforge-1.21.1-21.0.63.jar
bakeries-1.21.1-NeoForge-1.0.1.jar,烘焙坊 (Bakeries),,2026/5/25 15:06:00,,ZugnklTp,2653025,K:\.minecraft\versions\BadAeroPlay\mods\bakeries-1.21.1-NeoForge-1.0.1.jar
azurelib-neo-1.21.1-3.1.11.jar,AzureLib,,2026/7/4 13:14:53,,7zlUOZvb,877948,K:\.minecraft\versions\BadAeroPlay\mods\azurelib-neo-1.21.1-3.1.11.jar
AvaritiaSpear-1.21.1-neo-1.1.jar,Avaritia Spear,,2026/7/17 13:52:02,,BkPKnLSX,41296,K:\.minecraft\versions\BadAeroPlay\mods\AvaritiaSpear-1.21.1-neo-1.1.jar
avaritia_expand-0.3.6.jar,无尽贪婪 : 拓展 (Avaritia : Expand),,2026/3/19 3:32:38,,1327524,530975,K:\.minecraft\versions\BadAeroPlay\mods\avaritia_expand-0.3.6.jar
avaritia_delight-1.6.3.jar,无尽乐事 (Avaritia's Delight),,2026/5/24 0:02:20,,gtX73iTU,511442,K:\.minecraft\versions\BadAeroPlay\mods\avaritia_delight-1.6.3.jar
athena-neoforge-1.21.1-4.0.6.jar,Athena,,2026/5/9 16:07:38,,b1ZV3DIJ,99944,K:\.minecraft\versions\BadAeroPlay\mods\athena-neoforge-1.21.1-4.0.6.jar
architectury-13.0.11-neoforge.jar,Architectury API,,2026/7/23 17:57:32,,lhGA9TYQ,584734,K:\.minecraft\versions\BadAeroPlay\mods\architectury-13.0.11-neoforge.jar
appliedschematicannon-1.0.4.jar,Applied Schematicannon,,2025/5/27 23:29:48,,1269760,11485,K:\.minecraft\versions\BadAeroPlay\mods\appliedschematicannon-1.0.4.jar
appliedenergistics2-19.2.17.jar,应用能源2 (Applied Energistics 2),,2025/9/24 7:32:37,,XxWD5pD3,8230896,K:\.minecraft\versions\BadAeroPlay\mods\appliedenergistics2-19.2.17.jar
appliede-1.0.8-beta.jar,AppliedE,,2025/5/6 3:56:38,,SyKS54UY,218117,K:\.minecraft\versions\BadAeroPlay\mods\appliede-1.0.8-beta.jar
Applied-Mekanistics-1.6.3.jar,应用能源：通用机械附属 (Applied Mekanistics),,2025/10/12 9:09:56,,IiATswDj,149709,K:\.minecraft\versions\BadAeroPlay\mods\Applied-Mekanistics-1.6.3.jar
applied_kjs-1.0.0.jar,Applied KubeJS,,2026/2/23 19:32:40,,iCP3w3D8,86754,K:\.minecraft\versions\BadAeroPlay\mods\applied_kjs-1.0.0.jar
appleskin-neoforge-mc1.21-3.0.9.jar,苹果皮 (AppleSkin),,2026/4/1 12:50:54,,EsAfCjCV,75804,K:\.minecraft\versions\BadAeroPlay\mods\appleskin-neoforge-mc1.21-3.0.9.jar
anvilcore-10.1 Release-neoforge-1.21.1.jar,AnvilCore 🔨 [DISCONTINUED],,2026/3/17 21:19:32,,1470821,104557,K:\.minecraft\versions\BadAeroPlay\mods\anvilcore-10.1 Release-neoforge-1.21.1.jar
amendments-neoforge-1.21-2.1.7.jar,Amendments,,2026/7/12 7:25:35,,6iTJugQR,1154863,K:\.minecraft\versions\BadAeroPlay\mods\amendments-neoforge-1.21-2.1.7.jar
AlwaysEat-neoforge-1.0.0.jar,Always Eat,,2025/5/5 18:00:30,,yasvseig,5036,K:\.minecraft\versions\BadAeroPlay\mods\AlwaysEat-neoforge-1.0.0.jar
Almanac-1.21.1-2-neoforge-1.5.2.jar,Almanac,,2026/1/20 0:14:18,,Gi02250Z,25593,K:\.minecraft\versions\BadAeroPlay\mods\Almanac-1.21.1-2-neoforge-1.5.2.jar
alltheleaks-1.1.10+1.21.1-neoforge.jar,AllTheLeaks (Memory Leak Fix),,2026/7/11 8:15:59,,1091339,538832,K:\.minecraft\versions\BadAeroPlay\mods\alltheleaks-1.1.10+1.21.1-neoforge.jar
alloyed-3.0.11+1.21.1-neoforge.jar,合金 / 机械动力：合金 (Alloyed / Create: Alloyed),,2026/6/25 23:22:41,,KUInlTFo,859277,K:\.minecraft\versions\BadAeroPlay\mods\alloyed-3.0.11+1.21.1-neoforge.jar
aeroworks-1.3.0.jar,Create: Aeroworks,,2026/7/11 6:54:46,,1522473,675196,K:\.minecraft\versions\BadAeroPlay\mods\aeroworks-1.3.0.jar
aeronauticscompat-1.1.3.jar,Create Aeronautics: Compatibility,,2026/7/10 21:17:09,,aLVC5usA,43764,K:\.minecraft\versions\BadAeroPlay\mods\aeronauticscompat-1.1.3.jar
aeronautics_windsound-1.0.1.jar,Aeronautics Wind Sound,,2026/6/19 0:02:18,,XU9MYvTx,2090769,K:\.minecraft\versions\BadAeroPlay\mods\aeronautics_windsound-1.0.1.jar
aeronauticadditions_neoforge_mc_1.21.1-1.1.1.jar,Aeronautic Additions and ChunkLoader,,2026/5/11 0:16:32,,Ui2FZZHS,96205,K:\.minecraft\versions\BadAeroPlay\mods\aeronauticadditions_neoforge_mc_1.21.1-1.1.1.jar
aerocopycats-1.1.1.jar,Copycats+ aeronautics weight,,2026/5/8 0:18:13,,wjpmYU1u,14702,K:\.minecraft\versions\BadAeroPlay\mods\aerocopycats-1.1.1.jar
aeroclaims-0.9.3.jar,Create Aeronautics: Claims,,2026/7/23 22:20:38,,CwZ8q37q,207202,K:\.minecraft\versions\BadAeroPlay\mods\aeroclaims-0.9.3.jar
aeroadditionbridge-1.0.0.jar,Create: Crafts & Additions and Aeronautics Compat,,2026/4/29 0:18:48,,tum2vG0T,12911,K:\.minecraft\versions\BadAeroPlay\mods\aeroadditionbridge-1.0.0.jar
aero_reformation-1.3.2.4.jar,Aero-Reformation,1.3.2.4,2026/7/22 18:57:43,,EYJ4oFpq,693411,K:\.minecraft\versions\BadAeroPlay\mods\aero_reformation-1.3.2.4.jar
aero_addition-1.0.2.jar,Aeronautics:Addition,,2026/5/17 18:52:46,,uCWxfksC,31395,K:\.minecraft\versions\BadAeroPlay\mods\aero_addition-1.0.2.jar
aeinfinitybooster-neoforge-1.21.1-1.0.0.58.jar,AEInfinityBooster,,2026/7/6 6:03:14,,VQhDBNs8,30454,K:\.minecraft\versions\BadAeroPlay\mods\aeinfinitybooster-neoforge-1.21.1-1.0.0.58.jar
ae2wtlib-19.5.1.jar,AE2无线终端 (Applied Energistics 2 Wireless Terminals),,2026/7/17 18:08:12,,pNabrMMw,252091,K:\.minecraft\versions\BadAeroPlay\mods\ae2wtlib-19.5.1.jar
AE2MEGAThings-1.21.1-2.0.4.jar,AE2 MEGA Things,,2025/2/18 1:29:46,,1150075,183840,K:\.minecraft\versions\BadAeroPlay\mods\AE2MEGAThings-1.21.1-2.0.4.jar
ae2jeiintegration-1.2.1.jar,AE2 JEI Integration,,2026/3/8 15:35:47,,1074338,91710,K:\.minecraft\versions\BadAeroPlay\mods\ae2jeiintegration-1.2.1.jar
ae2importexportcard-1.21.1-1.5.0.jar,AE2输入输出卡 (AE2 Import Export Card),,2026/5/4 1:40:27,,qelfSMnn,420675,K:\.minecraft\versions\BadAeroPlay\mods\ae2importexportcard-1.21.1-1.5.0.jar
AE2-Things-1.4.2-beta.jar,AE2 Things [Forge],,2024/8/17 23:33:57,,609977,66034,K:\.minecraft\versions\BadAeroPlay\mods\AE2-Things-1.4.2-beta.jar
AdvancementPlaques-1.21.1-neoforge-1.6.8.jar,进度牌匾 (Advancement Plaques),,2024/11/16 3:32:34,,9NM0dXub,195730,K:\.minecraft\versions\BadAeroPlay\mods\AdvancementPlaques-1.21.1-neoforge-1.6.8.jar
accessories-neoforge-1.1.0-beta.53+1.21.1.jar,Accessories,,2026/2/6 15:37:53,,jtmvUHXj,1078697,K:\.minecraft\versions\BadAeroPlay\mods\accessories-neoforge-1.1.0-beta.53+1.21.1.jar
acceleratedrendering-1.0.14-1.21.1-alpha.jar,加速渲染 (Accelerated Rendering),,2026/7/17 8:50:07,,1314021,684365,K:\.minecraft\versions\BadAeroPlay\mods\acceleratedrendering-1.0.14-1.21.1-alpha.jar
acceleratedrecoiling-21.1.13-alpha.jar,加速碰撞 (Accelerated Recoiling),,2026/6/2 16:51:20,,mMXtqi5e,877907,K:\.minecraft\versions\BadAeroPlay\mods\acceleratedrecoiling-21.1.13-alpha.jar
[1.21.1] SecurityCraft v1.10.2.1.jar,安全工艺 (Security Craft),,2026/6/29 3:27:11,,v8jzRtAt,5193371,K:\.minecraft\versions\BadAeroPlay\mods\[1.21.1] SecurityCraft v1.10.2.1.jar
