文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
sodium-neoforge-0.8.12+mc1.21.1.jar,钠 (Sodium),0.8.12+mc1.21.1,2026/7/7 1:19:52,,AANobbMI,1291418,K:\.minecraft\versions\BadAeroPlay\mods\sodium-neoforge-0.8.12+mc1.21.1.jar
smsn-neoforge-1.4.3-1.21.1.jar,救救我的答辩网络 (Save My Shaky Network),,2026/7/9 17:03:23,,1129397,116160,K:\.minecraft\versions\BadAeroPlay\mods\smsn-neoforge-1.4.3-1.21.1.jar
slideshow_pro-neoforge-1.21.1-1.1.0.jar,幻灯片：增强 (Slide Show Pro),,2025/7/13 22:30:11,,P6nYxysS,1567265,K:\.minecraft\versions\BadAeroPlay\mods\slideshow_pro-neoforge-1.21.1-1.1.0.jar
skinlayers3d-neoforge-1.11.2-mc1.21.1.jar,3D 皮肤层 (Skin Layers 3D),1.11.2,2026/6/19 2:52:32,skinlayers3d,zV5r3pPn,1979027,K:\.minecraft\versions\BadAeroPlay\mods\skinlayers3d-neoforge-1.11.2-mc1.21.1.jar
sit-1.21.1-1.4.jar,席地而坐 (Sit),,2025/7/17 2:24:59,,VKXzIykF,14031,K:\.minecraft\versions\BadAeroPlay\mods\sit-1.21.1-1.4.jar
simurail-1.21.1-0.0.0-a+e68481d.jar,,,,,,627305,K:\.minecraft\versions\BadAeroPlay\mods\simurail-1.21.1-0.0.0-a+e68481d.jar
simulatedextra-0.3-beta.jar,Simulated Extra,,2026/6/19 20:24:25,,L064RU4O,67005,K:\.minecraft\versions\BadAeroPlay\mods\simulatedextra-0.3-beta.jar
simulated_gauges-1.1.0.jar,Simulated Gauges,,2026/4/25 14:38:54,,AwDdvIWn,828225,K:\.minecraft\versions\BadAeroPlay\mods\simulated_gauges-1.1.0.jar
simulated_addition-1.0.2.jar,Simulated Addition,,2026/5/17 16:32:16,,j55CF8YT,336474,K:\.minecraft\versions\BadAeroPlay\mods\simulated_addition-1.0.2.jar
simplesorter-neoforge-1.21.1-3.6.0.jar,简单R键整理 (SimpleSorterR),,2026/5/31 16:26:27,,6iAdBiSB,97066,K:\.minecraft\versions\BadAeroPlay\mods\simplesorter-neoforge-1.21.1-3.6.0.jar
simpleradio-neoforge-1.21.1-4.5.7.9.jar,Simple Radio,,2026/6/19 11:38:02,,S7b8mMXS,1016130,K:\.minecraft\versions\BadAeroPlay\mods\simpleradio-neoforge-1.21.1-4.5.7.9.jar
sim_copycats-1.3.1.jar,Aeronautics: simulated copycats,,2026/6/29 0:13:17,,NYBH9vVY,388185,K:\.minecraft\versions\BadAeroPlay\mods\sim_copycats-1.3.1.jar
SereneSeasons-neoforge-1.21.1-10.1.0.3.jar,静谧四季/季节 (Serene Seasons),,2025/2/12 3:35:48,,291874,159205,K:\.minecraft\versions\BadAeroPlay\mods\SereneSeasons-neoforge-1.21.1-10.1.0.3.jar
searchonmcmod-neoforge-1.21-1.21.8-0.1.0.jar,MC百科搜索 (Search on MCMOD),,2026/6/14 23:02:29,,cPF7RWdR,25721,K:\.minecraft\versions\BadAeroPlay\mods\searchonmcmod-neoforge-1.21-1.21.8-0.1.0.jar
scoreboardtweaks-1.3.4+1.21.1-neoforge.jar,Scoreboard Tweaks,,2025/6/19 5:18:23,,2MQvXJii,117048,K:\.minecraft\versions\BadAeroPlay\mods\scoreboardtweaks-1.3.4+1.21.1-neoforge.jar
sablephysicscompat-1.3.0.jar,Sable: Physics Compat,,2026/4/24 10:28:38,,sZbcIrJb,25334,K:\.minecraft\versions\BadAeroPlay\mods\sablephysicscompat-1.3.0.jar
sable-photomancy-1.0.0.jar,Sable Photomancy,,2026/7/25 15:03:25,,hNGBYvQN,1605342,K:\.minecraft\versions\BadAeroPlay\mods\sable-photomancy-1.0.0.jar
sable-neoforge-1.21.1-2.0.3.jar,Sable,,2026/6/17 12:32:49,,T9PomCSv,12889000,K:\.minecraft\versions\BadAeroPlay\mods\sable-neoforge-1.21.1-2.0.3.jar
sable_sa_compat-1.0.0.jar,Create Stuff 'N Additions x Sable & Aeronautics Compat,,2026/5/28 17:53:55,,gsAqDfOu,30346,K:\.minecraft\versions\BadAeroPlay\mods\sable_sa_compat-1.0.0.jar
sable_createaddition_compat-0.1.13.jar,Create Additions - Sable Compat,,2026/5/29 23:25:43,,5njdnAZ8,23908,K:\.minecraft\versions\BadAeroPlay\mods\sable_createaddition_compat-0.1.13.jar
rtsbuilding-neoforge-1.21.1-1.1.6-patch1.jar,RTS building: Build From Above,patch1,2026/7/29 18:40:31,,5PkY7RJI,4369822,K:\.minecraft\versions\BadAeroPlay\mods\rtsbuilding-neoforge-1.21.1-1.1.6-patch1.jar
ritchiesprojectilelib-2.1.2-mc.1.21.1-neoforge.jar,Ritchie's Projectile Library,,2026/2/7 16:42:23,,B3pb093D,76369,K:\.minecraft\versions\BadAeroPlay\mods\ritchiesprojectilelib-2.1.2-mc.1.21.1-neoforge.jar
rhino-2101.2.8-build.91.jar,犀牛 (Rhino),2101.2.8-build.91,2026/7/19 18:21:57,rhino,sk9knFPE,980936,K:\.minecraft\versions\BadAeroPlay\mods\rhino-2101.2.8-build.91.jar
rha-1.0.3a.jar,Rolled Homongenous: Forked,,2026/7/28 23:33:40,,UFXAeoqT,564255,K:\.minecraft\versions\BadAeroPlay\mods\rha-1.0.3a.jar
Resourcify (1.21.1-neoforge)-1.8.5.jar,资源下载机 (Resourcify),,2026/7/15 2:50:13,,RLzHAoZe,2625951,K:\.minecraft\versions\BadAeroPlay\mods\Resourcify (1.21.1-neoforge)-1.8.5.jar
resourcefullib-neoforge-1.21-3.0.12.jar,Resourceful Lib,,2024/12/8 12:44:13,,G1hIVOrD,484332,K:\.minecraft\versions\BadAeroPlay\mods\resourcefullib-neoforge-1.21-3.0.12.jar
resourcefulconfig-neoforge-1.21-3.0.11.jar,Resourceful Config,,2025/4/27 1:59:04,,M1953qlQ,341009,K:\.minecraft\versions\BadAeroPlay\mods\resourcefulconfig-neoforge-1.21-3.0.11.jar
repackaged-0.0.7.jar,Create: Repackaged,,2026/4/25 17:09:56,,D6daOdv9,1079769,K:\.minecraft\versions\BadAeroPlay\mods\repackaged-0.0.7.jar
refurbished_furniture-neoforge-1.21.1-1.0.22.jar,MrCrayfish 的家具：重制 (MrCrayfish's Furniture Mod: Refurbished),,2026/1/17 21:57:09,,897116,7133477,K:\.minecraft\versions\BadAeroPlay\mods\refurbished_furniture-neoforge-1.21.1-1.0.22.jar
recipeessentials-1.21.1-4.7.jar,Recipe Essentials,,2026/7/19 18:44:51,,907856,43983,K:\.minecraft\versions\BadAeroPlay\mods\recipeessentials-1.21.1-4.7.jar
Re-Avaritia-neoforge-1.21.1-1.4.1-release.jar,无尽贪婪：重生 (Re:Avaritia),,2026/7/24 17:39:51,,QeB3NRC5,3516867,K:\.minecraft\versions\BadAeroPlay\mods\Re-Avaritia-neoforge-1.21.1-1.4.1-release.jar
railways-0.3.0-beta.2+neoforge-mc1.21.1.jar,Steam 'n' Rails Neoforge,,2026/7/28 2:51:02,,L3Jv0QZI,18728584,K:\.minecraft\versions\BadAeroPlay\mods\railways-0.3.0-beta.2+neoforge-mc1.21.1.jar
Quark-4.1-482.jar,夸克 (Quark),,2026/7/13 4:07:37,,qnQsVE2z,15576704,K:\.minecraft\versions\BadAeroPlay\mods\Quark-4.1-482.jar
PuzzlesLib-v21.1.52-1.21.1-NeoForge.jar,Puzzles Lib,,2026/6/15 16:04:30,,QAGBst4M,1425176,K:\.minecraft\versions\BadAeroPlay\mods\PuzzlesLib-v21.1.52-1.21.1-NeoForge.jar
ProjectRed-1.21.1-4.23.0-transmission.jar,红石计划：传导 (ProjectRed - Transmission),,2026/7/26 2:18:48,,dXmH4rEw,479032,K:\.minecraft\versions\BadAeroPlay\mods\ProjectRed-1.21.1-4.23.0-transmission.jar
ProjectRed-1.21.1-4.23.0-integration.jar,红石计划：集成 (Project Red - Integration),,2026/7/26 2:18:47,,3JruZJb0,3569322,K:\.minecraft\versions\BadAeroPlay\mods\ProjectRed-1.21.1-4.23.0-integration.jar
ProjectRed-1.21.1-4.23.0-illumination.jar,红石计划：照明 (Project Red - Illumination),,2026/7/26 2:18:45,,9a4Zqq1k,789249,K:\.minecraft\versions\BadAeroPlay\mods\ProjectRed-1.21.1-4.23.0-illumination.jar
ProjectRed-1.21.1-4.23.0-fabrication.jar,红石计划：制作 (Project Red - Fabrication),,2026/7/26 2:18:44,,5H1VMCiY,790185,K:\.minecraft\versions\BadAeroPlay\mods\ProjectRed-1.21.1-4.23.0-fabrication.jar
ProjectRed-1.21.1-4.23.0-core.jar,红石计划 (ProjectRed),,2026/7/26 2:18:40,,zIlxygxr,778546,K:\.minecraft\versions\BadAeroPlay\mods\ProjectRed-1.21.1-4.23.0-core.jar
ProjectExtended-1.6.2.jar,等价交换扩展 (ProjectExtended),,2025/3/30 5:13:56,,353775,334666,K:\.minecraft\versions\BadAeroPlay\mods\ProjectExtended-1.6.2.jar
